,date,site_name,daily_mean_pm_2_5_concentration,state,station_name,elevation,latitude,longitude,mtd_prcp_normal,mtd_snow_normal,ytd_prcp_normal,ytd_snow_normal,dly_tavg_normal,dly_dutr_normal,dly_tmax_normal,dly_tmin_normal,day_of_week,weekday,season,mtd_prcp_normal_lag,mtd_snow_normal_lag
0,2010-01-02,GARDEN/TRINITY CHRISTIAN CHURCH,8.8,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.05,0.8,0.05,0.8,15.6,13.9,22.6,8.7,5,0,1,,
1,2010-01-08,GARDEN/TRINITY CHRISTIAN CHURCH,13.6,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.19,3.2,0.19,3.2,14.9,14.2,22.0,7.8,4,1,1,0.05,0.8
2,2010-01-14,GARDEN/TRINITY CHRISTIAN CHURCH,4.4,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.31,5.4,0.31,5.4,14.5,14.2,21.6,7.4,3,1,1,0.19,3.2
3,2010-01-20,GARDEN/TRINITY CHRISTIAN CHURCH,10.3,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.43,7.6,0.43,7.6,14.4,14.1,21.5,7.4,2,1,1,0.31,5.4
4,2010-01-26,GARDEN/TRINITY CHRISTIAN CHURCH,16.4,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.57,10.1,0.57,10.1,14.8,14.0,21.8,7.8,1,1,1,0.43,7.6
5,2010-02-01,GARDEN/TRINITY CHRISTIAN CHURCH,9.6,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.03,0.6,0.73,12.9,15.6,14.1,22.6,8.6,0,1,1,0.57,10.1
6,2010-02-06,GARDEN/TRINITY CHRISTIAN CHURCH,3.5,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.15,3.3,0.85,15.6,16.4,14.3,23.6,9.3,5,0,1,0.03,0.6
7,2010-02-13,GARDEN/TRINITY CHRISTIAN CHURCH,4.5,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.33,7.2,1.03,19.5,17.8,14.9,25.3,10.4,5,0,1,0.15,3.3
8,2010-02-19,GARDEN/TRINITY CHRISTIAN CHURCH,2.6,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.49,10.5,1.19,22.8,19.1,15.6,26.9,11.3,4,1,1,0.33,7.2
9,2010-02-25,GARDEN/TRINITY CHRISTIAN CHURCH,4.1,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.61,13.1,1.31,25.4,20.4,16.4,28.6,12.2,3,1,1,0.49,10.5
10,2010-03-03,GARDEN/TRINITY CHRISTIAN CHURCH,4.1,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.08,0.8,1.44,27.2,21.8,17.0,30.3,13.3,2,1,1,0.61,13.1
11,2010-03-09,GARDEN/TRINITY CHRISTIAN CHURCH,2.2,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.23,2.4,1.59,28.8,23.3,17.3,32.0,14.7,1,1,1,0.08,0.8
12,2010-03-15,GARDEN/TRINITY CHRISTIAN CHURCH,4.5,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.36,3.7,1.72,30.1,25.0,17.2,33.6,16.4,0,1,1,0.23,2.4
13,2010-03-20,GARDEN/TRINITY CHRISTIAN CHURCH,5.5,AK,ANCHORAGE ELMENDORF AFB AK US,64.6,61.25306,-149.79361,0.45,4.5,1.81,30.9,26.6,17.0,35.1,18.1,5,0,2,0.36,3.7
